STATEFP,NAME,stname,abbr,geoid
56,Pinedale,Wyoming, WY,5661580
56,Burns,Wyoming, WY,5611265
56,Moorcroft,Wyoming, WY,5654185
56,Frannie,Wyoming, WY,5629825
56,Torrington,Wyoming, WY,5677530
56,La Grange,Wyoming, WY,5643745
56,Bar Nunn,Wyoming, WY,5605245
56,Mills,Wyoming, WY,5653460
56,Encampment,Wyoming, WY,5624750
56,Riverside,Wyoming, WY,5666075
56,Fort Laramie,Wyoming, WY,5628230
56,Yoder,Wyoming, WY,5686665
56,Cheyenne,Wyoming, WY,5613900
56,Hartville,Wyoming, WY,5635625
56,Pine Bluffs,Wyoming, WY,5661435
56,Baggs,Wyoming, WY,5604740
56,Dixon,Wyoming, WY,5620690
56,Elk Mountain,Wyoming, WY,5624025
56,Hanna,Wyoming, WY,5635335
56,Medicine Bow,Wyoming, WY,5651575
56,Rawlins,Wyoming, WY,5663900
56,Saratoga,Wyoming, WY,5668685
56,Upton,Wyoming, WY,5679125
56,Clearmont,Wyoming, WY,5615325
56,Lingle,Wyoming, WY,5646790
56,Wright,Wyoming, WY,5685015
56,Kaycee,Wyoming, WY,5641353
56,Buffalo,Wyoming, WY,5610685
56,Kirby,Wyoming, WY,5642730
56,Thermopolis,Wyoming, WY,5676515
56,Evanston,Wyoming, WY,5625620
56,Lyman,Wyoming, WY,5648675
56,Bear River,Wyoming, WY,5605625
56,Mountain View,Wyoming, WY,5655345
56,La Barge,Wyoming, WY,5643455
56,Hudson,Wyoming, WY,5638960
56,Cokeville,Wyoming, WY,5615905
56,Powell,Wyoming, WY,5662450
56,Cody,Wyoming, WY,5615760
56,Dubois,Wyoming, WY,5621415
56,Meeteetse,Wyoming, WY,5651720
56,Burlington,Wyoming, WY,5611120
56,Deaver,Wyoming, WY,5619530
56,Rolling Hills,Wyoming, WY,5667440
56,Ten Sleep,Wyoming, WY,5675790
56,Albin,Wyoming, WY,5600825
56,Marbleton,Wyoming, WY,5650415
56,Basin,Wyoming, WY,5605320
56,Byron,Wyoming, WY,5611700
56,Cowley,Wyoming, WY,5617645
56,Afton,Wyoming, WY,5600245
56,Alpine,Wyoming, WY,5601695
56,Greybull,Wyoming, WY,5633885
56,Lovell,Wyoming, WY,5647950
56,Manderson,Wyoming, WY,5649980
56,Kemmerer,Wyoming, WY,5642005
56,Opal,Wyoming, WY,5657810
56,Thayne,Wyoming, WY,5676370
56,Star Valley Ranch,Wyoming, WY,5673180
56,Sundance,Wyoming, WY,5674195
56,Laramie,Wyoming, WY,5645050
56,Big Piney,Wyoming, WY,5607060
56,Jackson,Wyoming, WY,5640120
56,Sinclair,Wyoming, WY,5671150
56,Sheridan,Wyoming, WY,5669845
56,Rock River,Wyoming, WY,5667090
56,Gillette,Wyoming, WY,5631855
56,Newcastle,Wyoming, WY,5656215
56,Midwest,Wyoming, WY,5652445
56,Pine Haven,Wyoming, WY,5661610
56,Shoshoni,Wyoming, WY,5670570
56,Worland,Wyoming, WY,5684925
56,Douglas,Wyoming, WY,5621125
56,Lost Springs,Wyoming, WY,5647805
56,Glenrock,Wyoming, WY,5632435
56,Bairoil,Wyoming, WY,5604885
56,Granger,Wyoming, WY,5632870
56,Green River,Wyoming, WY,5633740
56,Rock Springs,Wyoming, WY,5667235
56,Superior,Wyoming, WY,5674775
56,Wamsutter,Wyoming, WY,5681300
56,Pavillion,Wyoming, WY,5660130
56,Lander,Wyoming, WY,5644760
56,Riverton,Wyoming, WY,5666220
56,Dayton,Wyoming, WY,5619385
56,Ranchester,Wyoming, WY,5663755
56,East Thermopolis,Wyoming, WY,5622720
56,Chugwater,Wyoming, WY,5614165
56,Glendo,Wyoming, WY,5632290
56,Guernsey,Wyoming, WY,5634320
56,Wheatland,Wyoming, WY,5683040
56,Hulett,Wyoming, WY,5639105
56,Lusk,Wyoming, WY,5648530
56,Manville,Wyoming, WY,5650270
56,Van Tassell,Wyoming, WY,5679705
56,Casper,Wyoming, WY,5613150
56,Edgerton,Wyoming, WY,5623155
