emojis,count
😂,28164078
❤,12529280
😭,11445977
😍,7671429
🎉,6202778
😊,5542293
😘,4715766
😩,4681427
💕,3943599
🏽,3868977
🏼,3404695
🏾,3394120
💯,2943912
🔥,2934719
🏻,2902989
🙏,2878197
🙌,2769822
🤣,2587981
😒,2434185
💙,2411196
♀,2237756
🙄,2227629
😁,2201637
👏,2157990
☺,2123994
💀,2103294
👌,2033018
🎈,1984697
💜,1980160
💗,1748728
😅,1704935
💖,1695271
🤔,1618832
😎,1610445
♂,1568671
😔,1558882
🤦,1488029
🙃,1485342
👍,1460860
🤷,1458679
✨,1431800
😏,1420031
🎶,1385542
🎂,1384992
💪,1329836
💛,1312169
😌,1297549
🎊,1261787
😳,1253671
👀,1187270
😉,1155886
😢,1152789
‼,1117016
😋,1040926
💔,1034901
💘,1028957
✌,1024647
♥,1006644
😈,1000785
😴,979111
🥰,976070
💋,963938
💞,960079
🤗,951119
🥺,941969
💚,940782
🎁,936958
✊,893483
😑,892949
😫,887404
😜,870588
💁,857025
💓,850874
😡,769950
😐,722744
🤘,709705
😕,709260
😤,706623
☀,691719
😄,689448
😛,666226
🙈,654448
😞,652389
😻,651538
🍻,627394
🏀,625636
😬,619950
😇,609970
🖤,606625
😪,605284
🏈,591033
🙂,560530
👑,543202
💃,539859
😆,535692
🚨,533203
👊,529289
😀,511000
😃,509658
😝,506190
🥳,505487
😷,500554
